/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y
1.001609845376611e-06,1.2,1.001609845376611e-06,1.2,1.001609845376611e-06,1.2,1.001609845376611e-06,1.2,1.001609845376611e-06,1.2,1.001609845376611e-06,1.2,1.001609845376611e-06,1.2,1.001609845376611e-06,0.468185548067258,1.001609845376611e-06,1.194695378104698
1.001617561487517e-06,1.2,1.001617561487517e-06,1.2,1.001617561487517e-06,1.2,1.001617561487517e-06,1.2,1.001617561487517e-06,1.2,1.001617561487517e-06,1.2,1.001617561487517e-06,1.2,1.001617561487517e-06,0.4589262149797021,1.001617561487517e-06,1.194692362618789
1.001630995269927e-06,1.2,1.001630995269927e-06,1.2,1.001630995269927e-06,1.2,1.001630995269927e-06,1.2,1.001630995269927e-06,1.2,1.001630995269927e-06,1.2,1.001630995269927e-06,1.2,1.001630995269927e-06,0.4428056760879938,1.001630995269927e-06,1.194686071473005
1.001632971561566e-06,1.2,1.001632971561566e-06,1.2,1.001632971561566e-06,1.2,1.001632971561566e-06,1.2,1.001632971561566e-06,1.2,1.001632971561566e-06,1.2,1.001632971561566e-06,1.2,1.001632971561566e-06,0.4404341261207845,1.001632971561566e-06,1.194685101440522
1.001636924144845e-06,1.2,1.001636924144845e-06,1.2,1.001636924144845e-06,1.2,1.001636924144845e-06,1.2,1.001636924144845e-06,1.2,1.001636924144845e-06,1.2,1.001636924144845e-06,1.2,1.001636924144845e-06,0.4356910261863657,1.001636924144845e-06,1.19468315258429
1.001644829311402e-06,1.2,1.001644829311402e-06,1.2,1.001644829311402e-06,1.2,1.001644829311402e-06,1.2,1.001644829311402e-06,1.2,1.001644829311402e-06,1.2,1.001644829311402e-06,1.2,1.001644829311402e-06,0.4262048263175283,1.001644829311402e-06,1.194679255705923
1.001660639644517e-06,1.2,1.001660639644517e-06,1.2,1.001660639644517e-06,1.2,1.001660639644517e-06,1.2,1.001660639644517e-06,1.2,1.001660639644517e-06,1.2,1.001660639644517e-06,1.2,1.001660639644517e-06,0.4072324265798537,1.001660639644517e-06,1.194671451755724
1.001678777909222e-06,1.2,1.001678777909222e-06,1.2,1.001678777909222e-06,1.2,1.001678777909222e-06,1.2,1.001678777909222e-06,1.2,1.001678777909222e-06,1.2,1.001678777909222e-06,1.2,1.001678777909222e-06,0.3854665089341863,1.001678777909222e-06,1.194662492232001
1.001709499113706e-06,1.2,1.001709499113706e-06,1.2,1.001709499113706e-06,1.2,1.001709499113706e-06,1.2,1.001709499113706e-06,1.2,1.001709499113706e-06,1.2,1.001709499113706e-06,1.2,1.001709499113706e-06,0.3486010635532915,1.001709499113706e-06,1.19464732961254
1.001735408974662e-06,1.2,1.001735408974662e-06,1.2,1.001735408974662e-06,1.2,1.001735408974662e-06,1.2,1.001735408974662e-06,1.2,1.001735408974662e-06,1.2,1.001735408974662e-06,1.2,1.001735408974662e-06,0.3175092304051835,1.001735408974662e-06,1.194634574173227
